diameter,diameter_error_um2,wavelength,wavelength_error_nm,mean,std_dev,reference,normalized,std_dev_ref
0.5,0.05,460,10,-0.033371729843827025,0.0012682624119497513,-6.520602828476456,0.005117890281261673,0.08873231333494241
0.5,0.05,530,10,-0.05982003171797665,0.0016187576256058074,-6.188807051681197,0.009665842095000599,0.023155431618828118
0.5,0.05,640,20,-0.16189418292339605,0.0012711659897436,-4.795523874816682,0.033759436330527026,0.012205217221558318
0.75,0.075,460,10,-0.047618383830124594,0.0013364984122380406,-6.520602828476456,0.0073027579017952045,0.08873231333494241
0.75,0.075,530,10,-0.07104343739908835,0.0015865634006799944,-6.188807051681197,0.01147934275633772,0.023155431618828118
0.75,0.075,640,20,-0.09849060273912393,0.002537723424230715,-4.795523874816682,0.02053802781721922,0.012205217221558318
1.0,0.1,460,10,-0.030929101615304936,0.0015121261913723896,-6.520602828476456,0.004743288684940737,0.08873231333494241
1.0,0.1,530,10,-0.03555149215301502,0.0014897394415134145,-6.188807051681197,0.00574448223318861,0.023155431618828118
1.0,0.1,640,20,-0.035692881816566345,0.001767889402928638,-4.795523874816682,0.007442957797375322,0.012205217221558318
