Index,Time[s],Ch0[V],Ch1[V],
0,0,0.00754633964970708,0.462316784774885,
1,0.05,-0.0207962943241,0.46746999095194,
2,0.1,-0.0207962943241,0.462316784774885,
3,0.15,-0.0207962943241,0.46746999095194,
4,0.2,-0.0207962943241,0.462316784774885,
5,0.25,-0.022084595868364,0.46746999095194,
6,0.3,-0.0207962943241,0.462316784774885,
7,0.35,-0.0207962943241,0.46746999095194,
8,0.4,-0.0207962943241,0.462316784774885,
9,0.45,-0.0207962943241,0.466181689407676,
10,0.5,-0.0207962943241,0.463605086319149,
11,0.55,-0.0207962943241,0.46746999095194,
12,0.6,-0.0207962943241,0.463605086319149,
13,0.65,-0.0207962943241,0.46746999095194,
14,0.7,-0.0207962943241,0.463605086319149,
15,0.75,-0.0207962943241,0.46746999095194,
16,0.8,-0.0207962943241,0.462316784774885,
17,0.85,-0.022084595868364,0.46746999095194,
18,0.9,-0.022084595868364,0.463605086319149,
19,0.95,-0.0207962943241,0.46746999095194,
20,1,-0.0207962943241,0.463605086319149,
21,1.05,-0.0207962943241,0.46746999095194,
22,1.1,-0.0207962943241,0.463605086319149,
23,1.15,-0.0207962943241,0.46746999095194,
24,1.2,-0.0207962943241,0.463605086319149,
25,1.25,-0.0207962943241,0.46746999095194,
26,1.3,-0.0207962943241,0.463605086319149,
27,1.35,-0.0207962943241,0.46746999095194,
28,1.4,-0.0207962943241,0.463605086319149,
29,1.45,-0.0207962943241,0.46746999095194,
30,1.5,-0.0207962943241,0.463605086319149,
31,1.55,-0.0207962943241,0.46746999095194,
32,1.6,-0.0207962943241,0.463605086319149,
33,1.65,-0.0207962943241,0.466181689407676,
34,1.7,-0.0207962943241,0.463605086319149,
35,1.75,-0.0207962943241,0.466181689407676,
36,1.8,-0.0207962943241,0.463605086319149,
37,1.85,-0.0207962943241,0.46746999095194,
38,1.9,-0.0207962943241,0.463605086319149,
39,1.95,-0.0207962943241,0.46746999095194,
40,2,-0.0207962943241,0.463605086319149,
41,2.05,-0.0207962943241,0.466181689407676,
42,2.1,-0.022084595868364,0.463605086319149,
43,2.15,-0.0207962943241,0.466181689407676,
44,2.2,-0.0207962943241,0.463605086319149,
45,2.25,-0.0207962943241,0.466181689407676,
46,2.3,-0.0207962943241,0.463605086319149,
47,2.35,-0.0207962943241,0.46746999095194,
48,2.4,-0.0207962943241,0.463605086319149,
49,2.45,-0.0207962943241,0.466181689407676,
50,2.5,-0.0207962943241,0.463605086319149,
51,2.55,-0.0207962943241,0.466181689407676,
52,2.6,-0.0207962943241,0.463605086319149,
53,2.65,-0.0207962943241,0.46746999095194,
54,2.7,-0.022084595868364,0.463605086319149,
55,2.75,-0.0207962943241,0.466181689407676,
56,2.8,-0.0207962943241,0.463605086319149,
57,2.85,-0.0207962943241,0.466181689407676,
58,2.9,-0.022084595868364,0.463605086319149,
59,2.95,-0.0207962943241,0.466181689407676,
60,3,-0.0207962943241,0.464893387863412,
61,3.05,-0.0207962943241,0.466181689407676,
62,3.1,-0.0207962943241,0.464893387863412,
63,3.15,-0.0207962943241,0.466181689407676,
64,3.2,-0.022084595868364,0.463605086319149,
65,3.25,-0.0207962943241,0.466181689407676,
66,3.3,-0.022084595868364,0.463605086319149,
67,3.35,-0.0207962943241,0.466181689407676,
68,3.4,-0.0207962943241,0.464893387863412,
69,3.45,-0.0207962943241,0.466181689407676,
70,3.5,-0.022084595868364,0.464893387863412,
71,3.55,-0.0207962943241,0.466181689407676,
72,3.6,-0.022084595868364,0.464893387863412,
73,3.65,-0.0207962943241,0.466181689407676,
74,3.7,-0.022084595868364,0.463605086319149,
75,3.75,-0.0195079927798361,0.466181689407676,
76,3.8,-0.022084595868364,0.464893387863412,
77,3.85,-0.0195079927798361,0.466181689407676,
78,3.9,-0.022084595868364,0.464893387863412,
79,3.95,-0.0195079927798361,0.466181689407676,
80,4,-0.022084595868364,0.464893387863412,
81,4.05,-0.0207962943241,0.466181689407676,
82,4.1,-0.022084595868364,0.464893387863412,
83,4.15,-0.0195079927798361,0.466181689407676,
84,4.2,-0.022084595868364,0.463605086319149,
85,4.25,-0.0195079927798361,0.466181689407676,
86,4.3,-0.022084595868364,0.464893387863412,
87,4.35,-0.0195079927798361,0.466181689407676,
88,4.4,-0.022084595868364,0.464893387863412,
89,4.45,-0.0195079927798361,0.464893387863412,
90,4.5,-0.022084595868364,0.464893387863412,
91,4.55,-0.0195079927798361,0.464893387863412,
92,4.6,-0.022084595868364,0.464893387863412,
93,4.65,-0.0195079927798361,0.464893387863412,
94,4.7,-0.022084595868364,0.464893387863412,
95,4.75,-0.0195079927798361,0.466181689407676,
96,4.8,-0.022084595868364,0.464893387863412,
97,4.85,-0.0195079927798361,0.464893387863412,
98,4.9,-0.022084595868364,0.464893387863412,
99,4.95,-0.0195079927798361,0.464893387863412,
100,5,-0.022084595868364,0.464893387863412,
101,5.05,-0.0195079927798361,0.464893387863412,
102,5.1,-0.0207962943241,0.464893387863412,
103,5.15,-0.0195079927798361,0.464893387863412,
104,5.2,-0.022084595868364,0.464893387863412,
105,5.25,-0.0195079927798361,0.464893387863412,
106,5.3,-0.022084595868364,0.464893387863412,
107,5.35,-0.0195079927798361,0.464893387863412,
108,5.4,-0.022084595868364,0.464893387863412,
109,5.45,-0.0195079927798361,0.464893387863412,
110,5.5,-0.022084595868364,0.464893387863412,
111,5.55,-0.0195079927798361,0.464893387863412,
112,5.6,-0.0233728974126279,0.464893387863412,
113,5.65,-0.0195079927798361,0.464893387863412,
114,5.7,-0.022084595868364,0.466181689407676,
