Index,Time[s],Ch0[V],Ch1[V],
3612,180.6,-10.5436433078721,0.269071553135291,
3613,180.65,-10.5436433078721,0.266494950046763,
3614,180.7,-10.5436433078721,0.269071553135291,
3615,180.75,-10.5436433078721,0.266494950046763,
3616,180.8,-10.5436433078721,0.269071553135291,
3617,180.85,-10.5436433078721,0.266494950046763,
3618,180.9,-10.5436433078721,0.269071553135291,
3619,180.95,-10.5436433078721,0.267783251591027,
3620,181,-10.5436433078721,0.269071553135291,
3621,181.05,-10.5436433078721,0.266494950046763,
3622,181.1,-10.5436433078721,0.269071553135291,
3623,181.15,-10.5436433078721,0.266494950046763,
3624,181.2,-10.5436433078721,0.269071553135291,
3625,181.25,-10.5436433078721,0.266494950046763,
3626,181.3,-10.5436433078721,0.269071553135291,
3627,181.35,-10.5436433078721,0.267783251591027,
3628,181.4,-10.5436433078721,0.269071553135291,
3629,181.45,-10.5436433078721,0.266494950046763,
3630,181.5,-10.5436433078721,0.269071553135291,
3631,181.55,-10.5436433078721,0.266494950046763,
3632,181.6,-10.5436433078721,0.269071553135291,
3633,181.65,-10.5436433078721,0.266494950046763,
3634,181.7,-10.5436433078721,0.269071553135291,
3635,181.75,-10.5436433078721,0.266494950046763,
3636,181.8,-10.5436433078721,0.269071553135291,
3637,181.85,-10.5436433078721,0.266494950046763,
3638,181.9,-10.5436433078721,0.269071553135291,
3639,181.95,-10.5436433078721,0.266494950046763,
3640,182,-10.5436433078721,0.269071553135291,
3641,182.05,-10.5436433078721,0.266494950046763,
3642,182.1,-10.5436433078721,0.269071553135291,
3643,182.15,-10.5436433078721,0.267783251591027,
3644,182.2,-10.5436433078721,0.269071553135291,
3645,182.25,-10.5436433078721,0.266494950046763,
3646,182.3,-10.5436433078721,0.269071553135291,
3647,182.35,-10.5436433078721,0.267783251591027,
3648,182.4,-10.5436433078721,0.269071553135291,
3649,182.45,-10.5436433078721,0.267783251591027,
3650,182.5,-10.5436433078721,0.269071553135291,
3651,182.55,-10.5436433078721,0.267783251591027,
3652,182.6,-10.5436433078721,0.269071553135291,
3653,182.65,-10.5436433078721,0.267783251591027,
3654,182.7,-10.5436433078721,0.267783251591027,
3655,182.75,-10.5436433078721,0.266494950046763,
3656,182.8,-10.5436433078721,0.269071553135291,
3657,182.85,-10.5436433078721,0.267783251591027,
3658,182.9,-10.5436433078721,0.267783251591027,
3659,182.95,-10.5436433078721,0.267783251591027,
3660,183,-10.5436433078721,0.267783251591027,
3661,183.05,-10.5436433078721,0.266494950046763,
3662,183.1,-10.5436433078721,0.269071553135291,
3663,183.15,-10.5436433078721,0.267783251591027,
3664,183.2,-10.5436433078721,0.269071553135291,
3665,183.25,-10.5436433078721,0.267783251591027,
3666,183.3,-10.5436433078721,0.267783251591027,
3667,183.35,-10.5436433078721,0.267783251591027,
