Record Length,2500,Points,-49.99999702E-3,-4.00000000,,Record Length,2500,Points,-49.99999702E-3,1.1999999,
Sample Interval,39.99999899E-6,s,-49.95999858E-3,-4.80000019,,Sample Interval,39.99999899E-6,s,-49.95999858E-3,1.1999999,
Trigger Point,1.2500000E3,Samples,-49.91999641E-3,-4.80000019,,Trigger Point,1.2500000E3,Samples,-49.91999641E-3,1.1200000,
,,,-49.87999797E-3,-5.59999990,,,,,-49.87999797E-3,1.0400000,
,,,-49.83999580E-3,-5.59999990,,,,,-49.83999580E-3,959.999978542E-3,
,,,-49.79999736E-3,-6.40000010,,,,,-49.79999736E-3,879.999995232E-3,
Source,CH1,,-49.75999519E-3,-6.40000010,,Source,CH2,,-49.75999519E-3,799.999952316E-3,
Vertical Units,Volts,,-49.71999675E-3,-6.40000010,,Vertical Units,Volts,,-49.71999675E-3,719.999969006E-3,
Vertical Scale,20.0000003,,-49.67999831E-3,-7.20000029,,Vertical Scale,2.0000000,,-49.67999831E-3,639.999985695E-3,
Vertical Offset,0,,-49.63999614E-3,-7.20000029,,Vertical Offset,0,,-49.63999614E-3,560.000002384E-3,
Horizontal Units,s,,-49.59999770E-3,-8.000000000,,Horizontal Units,s,,-49.59999770E-3,479.999989271E-3,
Horizontal Scale,9.999999747E-3,,-49.55999553E-3,-8.000000000,,Horizontal Scale,9.999999747E-3,,-49.55999553E-3,399.99997616E-3,
Pt Fmt,Y,,-49.51999709E-3,-8.000000000,,Pt Fmt,Y,,-49.51999709E-3,319.99999285E-3,
Yzero,-40.00000000E-3,,-49.47999865E-3,-8.800000191,,Yzero,-40.00000000E-3,,-49.47999865E-3,239.99999464E-3,
Probe Atten,10.0000000,,-49.43999648E-3,-8.800000191,,Probe Atten,10.0000000,,-49.43999648E-3,79.999998212E-3,
,,,-49.39999804E-3,-9.600000381,,,,,-49.39999804E-3,0.0,
Note,TBS 1052B-EDU - 17:12:41   04/12/2024,,-49.35999587E-3,-9.600000381,,Note,TBS 1052B-EDU - 17:12:41   04/12/2024,,-49.35999587E-3,-79.999998212E-3,
,,,-49.31999743E-3,-10.4000006,,,,,-49.31999743E-3,-159.99999642E-3,
,,,-49.27999526E-3,-10.4000006,,,,,-49.27999526E-3,-319.99999285E-3,
,,,-49.23999682E-3,-11.1999998,,,,,-49.23999682E-3,-399.99997616E-3,
,,,-49.19999838E-3,-11.1999998,,,,,-49.19999838E-3,-479.999989271E-3,
,,,-49.15999621E-3,-11.1999998,,,,,-49.15999621E-3,-560.000002384E-3,
,,,-49.11999777E-3,-12.0000000,,,,,-49.11999777E-3,-639.999985695E-3,
,,,-49.07999560E-3,-12.0000000,,,,,-49.07999560E-3,-719.999969006E-3,
,,,-49.03999716E-3,-12.0000000,,,,,-49.03999716E-3,-879.999995232E-3,
,,,-48.99999872E-3,-12.8000002,,,,,-48.99999872E-3,-959.999978542E-3,
,,,-48.95999655E-3,-12.8000002,,,,,-48.95999655E-3,-1.0400000,
,,,-48.91999811E-3,-12.8000002,,,,,-48.91999811E-3,-1.1200000,
,,,-48.87999594E-3,-12.8000002,,,,,-48.87999594E-3,-1.1999999,
,,,-48.83999750E-3,-13.6000004,,,,,-48.83999750E-3,-1.2800000,
,,,-48.79999533E-3,-14.4000006,,,,,-48.79999533E-3,-1.3600000,
,,,-48.75999689E-3,-14.4000006,,,,,-48.75999689E-3,-1.5200000,
,,,-48.71999845E-3,-14.4000006,,,,,-48.71999845E-3,-1.5999999,
,,,-48.67999628E-3,-15.1999998,,,,,-48.67999628E-3,-1.6799999,
,,,-48.63999784E-3,-15.1999998,,,,,-48.63999784E-3,-1.7600000,
,,,-48.59999567E-3,-15.1999998,,,,,-48.59999567E-3,-1.8399999,
,,,-48.55999723E-3,-15.1999998,,,,,-48.55999723E-3,-2.0000000,
,,,-48.51999879E-3,-16.0000000,,,,,-48.51999879E-3,-2.0799999,
,,,-48.47999662E-3,-16.0000000,,,,,-48.47999662E-3,-2.1599998,
,,,-48.43999818E-3,-16.8000011,,,,,-48.43999818E-3,-2.2400000,
,,,-48.39999601E-3,-16.8000011,,,,,-48.39999601E-3,-2.3199999,
,,,-48.35999757E-3,-17.6000004,,,,,-48.35999757E-3,-2.3999999,
,,,-48.31999540E-3,-17.6000004,,,,,-48.31999540E-3,-2.4800000,
,,,-48.27999696E-3,-18.3999996,,,,,-48.27999696E-3,-2.5599999,
,,,-48.23999852E-3,-18.3999996,,,,,-48.23999852E-3,-2.6399999,
,,,-48.19999635E-3,-19.2000008,,,,,-48.19999635E-3,-2.72000003,
,,,-48.15999791E-3,-19.2000008,,,,,-48.15999791E-3,-2.79999995,
,,,-48.11999574E-3,-19.2000008,,,,,-48.11999574E-3,-2.87999988,
,,,-48.07999730E-3,-20.0000000,,,,,-48.07999730E-3,-3.03999996,
,,,-48.03999886E-3,-20.80000114,,,,,-48.03999886E-3,-3.03999996,
,,,-47.99999669E-3,-20.80000114,,,,,-47.99999669E-3,-3.11999989,
,,,-47.95999825E-3,-21.60000038,,,,,-47.95999825E-3,-3.19999981,
,,,-47.91999608E-3,-22.39999962,,,,,-47.91999608E-3,-3.27999997,
,,,-47.87999764E-3,-22.39999962,,,,,-47.87999764E-3,-3.35999990,
,,,-47.83999547E-3,-23.20000076,,,,,-47.83999547E-3,-3.35999990,
,,,-47.79999703E-3,-24.00000000,,,,,-47.79999703E-3,-3.35999990,
,,,-47.75999859E-3,-24.80000114,,,,,-47.75999859E-3,-3.43999982,
,,,-47.71999642E-3,-24.80000114,,,,,-47.71999642E-3,-3.51999998,
